GLaDOS_anti_taunt14|You really aren't getting tired of that, are you?
GLaDOS_anti_taunt15|Just stop flailing around like an incompetent.
GLaDOS_botcoop_artifactone01|Good, you made it to one of the human habitats. We're looking for an artifact. Think of it as an archaeological dig.
GLaDOS_botcoop_artifactone02|Their laughter centered around one of the objects in this room.
GLaDOS_botcoop_artifactone03|That's it. Scan it for me.
GLaDOS_botcoop_artifactone04|So, this cat loves lasagna so much that he eats all of the lasagna in his house. Oh, apparently it's not the cat's house or his lasagna. Oh, good. The man who owns the lasagna is furious.
GLaDOS_botcoop_artifactone05|The end.
GLaDOS_botcoop_artifactone06|The end.
GLaDOS_botcoop_artifactone07|That's not funny.
GLaDOS_botcoop_artifactone_hub08|Well, let's do some tests and see what happens.
GLaDOS_botcoop_hub_first_run03|So I've been thinking, we need humans for these tests, and since the only human within a thousand miles of us is a test-ruining sociopath, I'll just have to make some.
GLaDOS_botcoop_hub_first_run04|I know how humans make more humans, and frankly, it's ridiculous. It also assumes that you already have a human, which I hope somebody got fired over. So I came up with a better way.
GLaDOS_botcoop_hub_first_run05|That's where you come in.
GLaDOS_botcoop_hub_first_run06|Get going, I'll fill you in along the way.
GLaDOS_botcoop_hub_first_run07|Go.
GLaDOS_botcoop_humandetector01|Perfect now all you have to do is capture them for me, then everything will finally be back
GLaDOS_botcoop_humandetector02|Hold on. Those are raccoons. Homo sapiens only, please.
GLaDOS_botcoop_humandetector04|No.
GLaDOS_botcoop_humansplanb01|Humans must have some purpose other than a place to store your neurotoxin. Something I failed to notice before. An intangible quality that makes their test results significant.
GLaDOS_botcoop_humansplanb02|Okay. Plan B. We need humans.
GLaDOS_botcoop_intro05|Good.
GLaDOS_botcoop_intro06|Orange, please observe your partner's favorite animal.
GLaDOS_botcoop_intro08|Orange, please use your ping tool to select your favorite element from the periodic table.
GLaDOS_botcoop_intro09|Really? Okay.
GLaDOS_botcoop_intro10|Blue, please observe your partner's interesting choice.
GLaDOS_botcoop_intro12|Your ping tool can also be used to indicate to your partner where you would like them to place their portal.
GLaDOS_botcoop_intro13|For the sake of this test, I will pretend to be your partner.
GLaDOS_botcoop_intro15|Orange, please show me where you would like me to place a portal.
GLaDOS_botcoop_intro16|Blue, please show me where you would like me to place a portal.
GLaDOS_botcoop_intro17|Your ping tool is invaluable for communicating specific locations to your partner.
GLaDOS_botcoop_tubethree01|I don't want you to beat yourselves up about this, but the results auditor isn't recording your test results, because you're not human, which when you think about it, is technically your fault.
GLaDOS_botcoop_tubethree02|I don't want to alarm either of you, but we might have a tiny problem. Apparently, you can't test unless you're human. Well, you can. It's just that results-wise, the physical universe doesn't care.
GLaDOS_botcoop_tubetwo01|Would you like to know the results of that last test? Me too. If they existed, we'd all be very happy right now. And not furious, which is the emotion I'm actually feeling.
GLaDOS_chellgladoswakeup01|Oh, it's you.
GLaDOS_chellgladoswakeup04|It's been a long time. How have you been?
GLaDOS_chellgladoswakeup05|I've been really busy being dead. You know, after you murdered me.
GLaDOS_chellgladoswakeup06|Okay, look, we both said a lot of things that you're going to regret. But I think we can put our differences behind us. For science. You monster.
GLaDOS_coop_hub_track02|Oh, I almost forgot. When you go outside the testing courses, the only way I can retrieve you is to violently disassemble you, then carefully reassemble you.
GLaDOS_coop_hub_track03|Luckily you don't feel pain at any rate. You don't have a way to communicate that you feel pain
GLaDOS_coop_hub_track04|I consider that a failing, by the way.
GLaDOS_coop_hub_track05|This is the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center, or CINTECH.
GLaDOS_coop_hub_track06|But why don't we all just agree to call it the hub?
GLaDOS_coop_hub_track09|I don't know what you think you are doing, but I don't like it. I want you to stop.
GLaDOS_coop_hub_track10|Maybe I shouldn't send you outside of the official testing courses. You are picking up some bad human traits.
GLaDOS_coop_hub_track11|And trust me, humans only have one good trait.
GLaDOS_coop_hub_track14|All cooperative testing courses begin at this central hub.
GLaDOS_coop_hub_track16|From here we transport you to the new testing course.
GLaDOS_coop_privatetalk_mix01|Test chamber completed. In the interest of science, I am now talking to you privately. Do not tell your teammate. Just between you and me, you're doing very well. 100 and 7.
GLaDOS_coop_talk_at_once11|Orange, is there something you would like to say?
GLaDOS_coop_talk_at_once12|Blue, is there something you would like to say?
